Respondent ID,Start Date,EndDate,IP Address,Country Code,Country Name,State,heardOfBagBans,impressionOfBagBans,,proposedBagBan,voteInFavor,includeFeeVoteYes,bagsFoundDecreased,trenchHasBags,carmelDoesntFee,highCostsPlasticBags,everyOtherCityFees,commentsOrSuggestions,howLongInSC,rentOrOwn,zip,childrenInHome,localMerchant,whatYearBorn,gender,contactMeFor,Interviewers Name,,Type,Platform,Agent,Referrer
53231420,2013-09-05 07:51:40,2013-09-05 07:51:40,70.197.6.5,US,United States,California,,,,No,Probably no,Definitely no,Somewhat more likely to support a ban,Much more likely to support a ban,Makes no difference,Somewhat more likely to support a $0.10 fee,Makes no difference,,5 years or less,Rent,,No,No,1988-1984 (age 25-29),Male,I would like to volunteer with Save Our Shores,,,Mobile App. Direct,iOS 6.1.3,iPad 1.6,
53320781,2013-09-05 10:30:43,2013-09-05 10:30:43,70.197.6.5,US,United States,California,Yes,They've had a positive impact.,,Yes,Definitely yes,Definitely yes,Much more likely to support a ban,Much more likely to support a ban,Much more likely to support a $0.10 fee,Makes no difference,Makes no difference,good idea. remind people to use cloth bags.,more than 20 years,Own,95066,No,No,1953-1949 (age 60-64),Male,I would like to volunteer with Save Our Shores,,,Mobile App. Direct,iOS 6.1.3,iPad 1.6,
54286889,2013-09-11 10:06:14,2013-09-11 10:06:14,174.253.241.253,US,United States,California,Yes,They've had a positive impact.,,Yes,Definitely yes,Definitely yes,Much more likely to support a ban,Much more likely to support a ban,Much more likely to support a $0.10 fee,Much more likely to support a $0.10 fee,Much more likely to support a $0.10 fee,Wish we could have done this years ago,5 years or less,Own,95066,Yes,No,1973-1969 (age 40-44),Female,I would like to receive updates about this topic. I would like to volunteer with Save Our Shores,,Rachel kippen,Mobile App. Direct,iOS 6.1.3,iPad 1.6,
54287215,2013-09-11 09:36:07,2013-09-11 09:36:07,70.211.65.16,US,United States,Georgia,Yes,They've had a positive impact.,,Yes,Definitely yes,Probably yes,Much more likely to support a ban,Much more likely to support a ban,Somewhat more likely to support a $0.10 fee,Somewhat more likely to support a $0.10 fee,Somewhat more likely to support a $0.10 fee,very awre of plasticdamage andin support of reusable,more than 20 years,Own,95066,No,No,1948 or earlier (age 65+),Female,I would like to receive updates about this topic. I would like to volunteer with Save Our Shores,,,Mobile App. Direct,iOS 6.1.3,iPad 1.6,
54287216,2013-09-11 09:43:37,2013-09-11 09:43:37,70.211.65.16,US,United States,Georgia,Yes,They've had a positive impact.,,Yes,Definitely yes,Definitely yes,Much more likely to support a ban,Much more likely to support a ban,Much more likely to support a $0.10 fee,Much more likely to support a $0.10 fee,Much more likely to support a $0.10 fee,,6-10 years,Rent,95066,No,No,1948 or earlier (age 65+),Female,I would like to volunteer with Save Our Shores,Lauren Dockendorf,,Mobile App. Direct,iOS 6.1.3,iPad 1.6,
55020348,2013-09-13 09:44:05,2013-09-13 09:44:05,174.240.1.62,US,United States,Maine,Yes,They've had a positive impact.,,No,Definitely yes,Definitely yes,Much more likely to support a ban,Much more likely to support a ban,Makes no difference,Much more likely to support a $0.10 fee,Much more likely to support a $0.10 fee,,11-15 years,Own,95066,Yes,No,1958-1954 (age 55-59),Female,I would like to volunteer with Save Our Shores,Laura Kasa,,Mobile App. Direct,iOS 6.1.3,iPad 1.6,
55199170,2013-09-13 09:09:14,2013-09-13 09:09:14,70.197.3.61,US,United States,California,Yes,The fee for paper bags is too high.,,No,Probably no,Probably no,Somewhat more likely to support a ban,Somewhat more likely to support a ban,Makes no difference,Makes no difference,Makes no difference,less expensive reusable bags some better alternatives suggested systems extra bags,more than 20 years,Own,95066,No,No,1948 or earlier (age 65+),Male,I would like to volunteer with Save Our Shores,,,Mobile App. Direct,iOS 6.1.3,iPad 1.6,
55750217,2013-09-14 09:41:36,2013-09-14 09:41:36,70.197.9.138,US,United States,California,Yes,They've had a positive impact.,,No,Definitely yes,Definitely yes,Much more likely to support a ban,Much more likely to support a ban,Somewhat more likely to support a $0.10 fee,Much more likely to support a $0.10 fee,Somewhat more likely to support a $0.10 fee,good to sell bags at counter for relatively cheap,16-20 years,Own,95066,Yes,No,1968-1964 (age 45-49),Female,I would like to volunteer with Save Our Shores,,marina maze,Mobile App. Direct,iOS 6.1.3,iPad 1.6,
55775257,2013-09-16 03:15:49,2013-09-16 03:15:49,70.197.9.242,US,United States,California,Yes,They've had a negative impact.,,Yes,Definitely yes,Definitely yes,Much more likely to support a ban,Much more likely to support a ban,Much more likely to support a $0.10 fee,Much more likely to support a $0.10 fee,Makes no difference,,6-10 years,Rent,95066,Yes,No,1973-1969 (age 40-44),Male,I would like to receive updates about this topic. I would like to volunteer with Save Our Shores,Lauren Dockendorf,,Mobile App. Direct,iOS 6.1.3,iPad 1.6,
55788393,2013-09-16 04:02:13,2013-09-16 04:02:13,70.197.10.144,US,United States,California,Yes,They've had a positive impact.,,Yes,Definitely yes,Definitely yes,Much more likely to support a ban,Much more likely to support a ban,Much more likely to support a $0.10 fee,Much more likely to support a $0.10 fee,Much more likely to support a $0.10 fee,,5 years or less,Own,95066,No,No,1988-1984 (age 25-29),Female,I would like to volunteer with Save Our Shores,Manu Koenig,,Mobile App. Direct,iOS 6.1.3,iPad 1.6,
55788395,2013-09-16 04:12:18,2013-09-16 04:12:18,70.197.10.144,US,United States,California,Yes,They've had a positive impact.,,No,Definitely yes,Definitely yes,Much more likely to support a ban,Much more likely to support a ban,Much more likely to support a $0.10 fee,Much more likely to support a $0.10 fee,Much more likely to support a $0.10 fee,,6-10 years,Rent,95066,Yes,Yes,1983-1979 (age 30-34),Female,I would like to receive updates about this topic. I would like to volunteer with Save Our Shores,Manu Koenig,,Mobile App. Direct,iOS 6.1.3,iPad 1.6,
56221729,2013-09-17 09:47:52,2013-09-17 09:47:52,70.197.9.179,US,United States,California,Yes,No opinion.,,No,Definitely yes,Definitely yes,Much more likely to support a ban,Much more likely to support a ban,Much more likely to support a $0.10 fee,Much more likely to support a $0.10 fee,Much more likely to support a $0.10 fee,,5 years or less,Own,95066,Yes,No,1973-1969 (age 40-44),Female,I would like to volunteer with Save Our Shores,Lauren Dockendorf,,Mobile App. Direct,iOS 6.1.3,iPad 1.6,
56495189,2013-09-18 07:57:17,2013-09-18 07:57:17,174.240.39.4,US,United States,California,Yes,They've had a positive impact.,,Yes,Definitely yes,Definitely yes,Much more likely to support a ban,Much more likely to support a ban,Much more likely to support a $0.10 fee,Much more likely to support a $0.10 fee,Much more likely to support a $0.10 fee,,6-10 years,Own,95066,No,No,1968-1964 (age 45-49),Female,I would like to receive a one-time link to the community forum on this topic. I would like to volunteer with Save Our Shores,Lauren Dockendorf,,Mobile App. Direct,iOS 6.1.3,iPad 1.6,
56545529,2013-09-18 09:59:43,2013-09-18 09:59:43,169.233.195.254,US,United States,California,Yes,No opinion.,,No,Probably yes,Probably yes,Somewhat more likely to support a ban,Much more likely to support a ban,Somewhat more likely to support a $0.10 fee,Somewhat more likely to support a $0.10 fee,Somewhat more likely to support a $0.10 fee,,11-15 years,Own,95066,Yes,No,1968-1964 (age 45-49),Male,I would like to volunteer with Save Our Shores,,,Mobile App. Direct,iOS 6.1.3,iPad 1.6,
56992395,2013-09-20 09:32:05,2013-09-20 09:32:05,63.249.85.229,US,United States,California,Yes,They've had a positive impact.,,Yes,Probably yes,Probably yes,Much more likely to support a ban,Much more likely to support a ban,Makes no difference,Makes no difference,Makes no difference,,5 years or less,Own,95066,Yes,No,1958-1954 (age 55-59),Female,I would like to volunteer with Save Our Shores,Brad Hunt,,Mobile App. Direct,iOS 6.1.3,iPad 1.6,
